"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260301","경춘선","굴봉산","120","109","20260304",""
"20260301","경춘선","백양리","241","230","20260304",""
"20260301","경춘선","강촌","592","563","20260304",""
"20260301","경춘선","김유정","746","715","20260304",""
"20260301","경춘선","남춘천","3210","3317","20260304",""
"20260301","경춘선","춘천","1968","1757","20260304",""
"20260301","공항철도 1호선","서울역","14221","13183","20260304",""
"20260301","공항철도 1호선","공덕","2127","2773","20260304",""
"20260301","공항철도 1호선","홍대입구","21130","18418","20260304",""
"20260301","공항철도 1호선","디지털미디어시티","5643","5512","20260304",""
"20260301","공항철도 1호선","마곡나루(서울식물원)","6617","6746","20260304",""
"20260301","공항철도 1호선","김포공항","7871","4203","20260304",""
"20260301","공항철도 1호선","계양","6046","6193","20260304",""
"20260301","공항철도 1호선","검암","3773","3852","20260304",""
"20260301","공항철도 1호선","청라국제도시","4578","4568","20260304",""
"20260301","공항철도 1호선","운서","8619","9224","20260304",""
"20260301","공항철도 1호선","공항화물청사","939","1008","20260304",""
"20260301","공항철도 1호선","인천공항1터미널","13153","13900","20260304",""
"20260301","공항철도 1호선","인천공항2터미널","9971","9248","20260304",""
"20260301","공항철도 1호선","영종","3778","3878","20260304",""
"20260301","과천선","선바위","4491","3960","20260304",""
"20260301","과천선","경마공원","15075","15020","20260304",""
"20260301","과천선","대공원","6720","6768","20260304",""
"20260301","과천선","과천","4100","3494","20260304",""
"20260301","과천선","정부과천청사","6439","6256","20260304",""
"20260301","과천선","인덕원","15632","15582","20260304",""
"20260301","과천선","평촌","8518","8207","20260304",""
"20260301","과천선","범계","19454","19256","20260304",""
"20260301","분당선","선릉","3228","5001","20260304",""
"20260301","분당선","한티","9972","9372","20260304",""
"20260301","분당선","도곡","3418","3291","20260304",""
"20260301","분당선","구룡","1685","1680","20260304",""
"20260301","분당선","개포동","2437","2506","20260304",""
"20260301","분당선","대모산입구","2926","2916","20260304",""
"20260301","분당선","수서","11845","12755","20260304",""
"20260301","분당선","수원","7146","6926","20260304",""
"20260301","분당선","서울숲","7719","8144","20260304",""
"20260301","분당선","압구정로데오","11345","12041","20260304",""
"20260301","분당선","강남구청","3369","3921","20260304",""
"20260301","분당선","선정릉","2435","2264","20260304",""
"20260301","분당선","가천대","4811","5192","20260304",""
"20260301","분당선","태평","9115","8555","20260304",""
"20260301","분당선","모란","12959","13445","20260304",""
"20260301","분당선","야탑","15926","16361","20260304",""
"20260301","분당선","서현","16768","16911","20260304",""
"20260301","분당선","수내","6967","6694","20260304",""
"20260301","분당선","정자","8390","8550","20260304",""
